id,genres,production_companies,title,crew
28384,"Romance, Comedy, Drama",TriStar Pictures,Husbands and Wives,Woody Allen
27094,Drama,Marvin Worth Productions,Lenny,Bob Fosse
5203,"Drama, Romance",Vision P.D.G.,Wild Orchid,Zalman King
13201,"Action, Crime, Drama, Romance",United Artists,Deuces Wild,Scott Kalvert
9689,"Comedy, Drama",DreamWorks SKG,Hollywood Ending,Woody Allen
557,"Fantasy, Action","Columbia Pictures, Marvel Enterprises",Spider-Man,Sam Raimi
28289,"Comedy, Romance","Columbia Pictures Corporation, Frankovich Productions",Cactus Flower,Gene Saks
32037,"Drama, Thriller","Associated General Films, International Cine Productions",The Cassandra Crossing,George P. Cosmatos
24767,"Adventure, Drama, Family",Walt Disney Pictures,Iron Will,Charles Haid
32221,Drama,"Seven Arts Pictures, Carolco Pictures",Rambling Rose,Martha Coolidge
28466,"Drama, Comedy",Columbia Pictures Corporation,The Survivors,Michael Ritchie
12227,"Action, Adventure, Drama, Family","Walt Disney Pictures, Silver Screen Partners IV, Hybrid Productions Inc.",White Fang,Randal Kleiser
10985,"Comedy, Family","Revolution Studios, Frontier Pictures, Bedlam Pictures",The New Guy,Ed Decter
2251,"Thriller, Drama","Regency Enterprises, Fox 2000 Pictures, Epsilon Motion Pictures, Unfaithful Filmproduktion GmbH & Co. KG",Unfaithful,Adrian Lyne
11240,"Romance, Drama, Comedy","Channel Four Films, Working Title Films, SAF Productions",My Beautiful Laundrette,Stephen Frears
46592,"Drama, Romance, War",Mosfilm,Ballad of a Soldier,Grigoriy Chukhray
14117,"Action, Western, Music",Warner Bros.,Calamity Jane,David Butler
38360,"Drama, Romance, War",Mosfilm,The Cranes Are Flying,Mikhail Kalatozov
245,"Drama, Comedy, Romance",Universal Pictures,About a Boy,"Chris Weitz, Paul Weitz"
1894,"Adventure, Action, Science Fiction",Lucasfilm,Star Wars: Episode II - Attack of the Clones,George Lucas
4012,Drama,"Fuller Films, Seven Arts Pictures",The Believer,Henry Bean
9026,"Comedy, Drama, History, Romance",Ealing Studios,The Importance of Being Earnest,Oliver Parker
15417,"Action, Adventure, Comedy, Romance","Malpaso Productions, Warner Bros.",Every Which Way But Loose,James Fargo
11791,"Horror, Thriller, Mystery",Hammer Film Productions,The Hound of the Baskervilles,Terence Fisher
28577,"Crime, Drama","United Artists, Figaro",I Want to Live!,Robert Wise
13963,"Documentary, Music","FM Productions, Last Waltz Inc.",The Last Waltz,Martin Scorsese
1957,"Drama, Thriller",Winkler Films,Enough,Michael Apted
320,"Crime, Mystery, Thriller","Section Eight, Alcon Entertainment, Witt/Thomas Productions",Insomnia,Christopher Nolan
9023,"Western, Animation, Adventure, Comedy, Family","DreamWorks SKG, DreamWorks Animation",Spirit: Stallion of the Cimarron,"Kelly Asbury, Lorna Cook"
27834,"Comedy, Drama, Science Fiction",United Artists,CQ,Roman Coppola
17734,Drama,,Thirteen Conversations About One Thing,Jill Sprecher
24010,"Drama, Romance, Comedy","Twentieth Century Fox Film Corporation, Marilyn Monroe Productions",Bus Stop,Joshua Logan
44800,"Drama, Crime",Paramount Pictures,The Gambler,Karel Reisz
24014,"Comedy, Romance","Twentieth Century Fox Film Corporation, The Company of Artists",Let's Make Love,George Cukor
24008,"Comedy, Romance",Twentieth Century Fox Film Corporation,Monkey Business,Howard Hawks
1936,"Adventure, Western",Twentieth Century Fox Film Corporation,River of No Return,Otto Preminger
4614,"Thriller, Action, Drama","Paramount Pictures, Mace Neufeld Productions, MFP Munich Film Partners GmbH & Company I. Produktions KG, S.O.A.F. Productions, Mel's Cite du Cinema",The Sum of All Fears,Phil Alden Robinson
12277,"Action, Comedy",Universal Pictures,Undercover Brother,Malcolm D. Lee
15677,"Drama, Romance","Columbia Pictures Corporation, Brooksfilms",84 Charing Cross Road,David Hugh Jones
13153,"Action, Thriller",Twentieth Century Fox Film Corporation,Rapid Fire,Dwight H. Little
811,"Adventure, Drama, Science Fiction","Universal Pictures, Trumbull/Gruskoff Productions",Silent Running,Douglas Trumbull
163907,"Comedy, Western",Rastar Pictures,The Villain,Hal Needham
7216,Horror,National Cinematografica,Zombie Holocaust,Marino Girolami
3132,"Action, Adventure, Comedy, Thriller","Jerry Bruckheimer Films, Touchstone Pictures, Stillking Films",Bad Company,Joel Schumacher
9583,"Comedy, Drama, Romance","All Girl Productions, Gaylord Productions",Divine Secrets of the Ya-Ya Sisterhood,Callie Khouri
13245,"Fantasy, Drama",Igloolik Isuma Productions Inc.,Atanarjuat: The Fast Runner,Zacharias Kunuk
2501,"Action, Drama, Mystery, Thriller","Universal Pictures, Kennedy/Marshall Company, The, Hypnotic, Kalima Productions GmbH & Co. KG, Stillking Films",The Bourne Identity,Doug Liman
9637,"Mystery, Adventure, Comedy","Atlas Entertainment, Mosaic Media Group, Warner Bros.",Scooby-Doo,Raja Gosnell
12100,"Drama, Action, History, War","Lion Rock Productions, Metro-Goldwyn-Mayer (MGM)",Windtalkers,John Woo
16857,"Comedy, Drama","Egg Pictures, Trilogy Entertainment Group, Initial Entertainment Group (IEG)",The Dangerous Lives of Altar Boys,Peter Care
10394,"Action, Drama, Thriller","Filmboard Berlin-Brandenburg (FBB), Pagoda Film, Film4, Little Bird, NFH Productions, Road Movies Filmproduktion, British Screen Productions, British Sky Broadcasting (BSkyB)",Gangster No. 1,Paul McGuigan
15813,"Action, Drama, War","Portobello Pictures, Eurimages, Helkon Media AG, Fandango, Česká televize, Biograf Jan Svěrák, Phoenix Film Investments, The Czech Republic State Fund for Support and Development of Cinematography",Dark Blue World,Jan Svěrák
31591,"Western, Drama","Paramount Pictures, Jaffilms Inc.",Bad Company,Robert Benton
18905,"Comedy, Adventure",Turman-Foster Company,Caveman,Carl Gottlieb
14774,Comedy,MGM Home Entertainment,Cheech & Chong's The Corsican Brothers,Tommy Chong
34130,"Comedy, Western",Paramount Pictures,Goin' South,Jack Nicholson
38950,"Drama, Action, Thriller, Crime",Golan-Globus Productions,Hero and the Terror,William Tannen
17898,Horror,"Paramount Pictures, Famous Films (II)",Silver Bullet,Daniel Attias
21635,"Drama, Thriller","Paramount Pictures, Hal Wallis Productions","Sorry, Wrong Number",Anatole Litvak
27945,"Action, Drama, Western","Twentieth Century Fox Film Corporation, Hombre Productions",Hombre,Martin Ritt
30194,"Science Fiction, Thriller",Gladden Entertainment,The Manhattan Project,Marshall Brickman
10169,"Comedy, Crime","Epic Productions, Euphoria Films Production",Men at Work,Emilio Estevez
27225,Comedy,"Paramount Pictures, Lorimar Film Entertainment, Artista Management, Geoffrey Productions",S.O.B.,Blake Edwards
13909,Western,RKO Radio Pictures,She Wore a Yellow Ribbon,John Ford
41805,"Action, Adventure, Drama, Mystery, Thriller",Hollywood Pictures,V.I. Warshawski,Jeff Kanew
11544,"Animation, Family","Walt Disney Pictures, Walt Disney Feature Animation",Lilo & Stitch,"Dean DeBlois, Chris Sanders"
180,"Action, Thriller, Science Fiction, Mystery","DreamWorks SKG, Cruise/Wagner Productions, Amblin Entertainment, Twentieth Century Fox Film Corporation, Blue Tulip Productions, Ronald Shusett/Gary Goldman, Digital Image Associates",Minority Report,Steven Spielberg
9555,"Adventure, Drama, Action, History","Showtime Australia, Australian Film Finance Corporation (AFFC), Rumbalara Films, Olsen Levy",Rabbit-Proof Fence,Phillip Noyce
17710,"Animation, Family","Paramount Pictures, Nickelodeon Movies, Nickelodeon Animation Studios, Paramount Animation, Snee-Oosh Productions",Hey Arnold! The Movie,Tuck Tucker
2022,"Comedy, Romance","New Line Cinema, Columbia Pictures Corporation, Out of the Blue... Entertainment, Happy Madison Productions",Mr. Deeds,Steven Brill
50035,"Comedy, Drama, Romance",,Lovely & Amazing,Nicole Holofcener
11982,"Romance, Comedy, Family",TriStar Pictures,Look Who's Talking Now!,Tom Ropelewski
12251,"Action, Comedy, Thriller, Crime, Romance",Columbia Pictures Corporation,Mo' Money,Peter MacDonald
30114,"Adventure, Comedy, Western","TriStar Pictures, Wagons East N.V., Carolco Pictures",Wagons East!,Peter Markle
21972,"Comedy, Drama, Family, Fantasy","Twentieth Century Fox Film Corporation, Josephson Entertainment, NBA Entertainment, Heller Highwater Productions, Like Mike Productions",Like Mike,John Schultz
608,"Action, Adventure, Comedy, Science Fiction","Columbia Pictures, Amblin Entertainment, Columbia Pictures Corporation, Parkes+MacDonald Image Nation",Men in Black II,Barry Sonnenfeld
59387,"Animation, Action, Family","Warner Bros. Pictures, Warner Bros. Animation, Cartoon Network Studios",The Powerpuff Girls Movie,Craig McCracken
17043,"Family, Action, Adventure","Cheyenne Enterprises, Discovery Channel Pictures, Metro-Goldwyn-Mayer (MGM), J&M Entertainment, Animal Planet, Winchester Films, Best Picture Show Company, The",The Crocodile Hunter: Collision Course,John Stainton
6278,"Adventure, Action, Fantasy","The Zanuck Company, Spyglass Entertainment, World 2000 Entertainment, Touchstone Pictures, Tripod Entertainment",Reign of Fire,Rob Bowman
4147,"Thriller, Crime, Drama","DreamWorks SKG, The Zanuck Company, Twentieth Century Fox Film Corporation",Road to Perdition,Sam Mendes
16664,"Comedy, Drama, Foreign, Romance",Rockwell Eyes,All About Lily Chou-Chou,Shunji Iwai
15096,Science Fiction,"Columbia Pictures Corporation, Morningside Productions",20 Million Miles to Earth,Nathan H. Juran
20324,"Romance, Comedy, Drama","British Film-Makers, Javelin Films",The Importance of Being Earnest,Anthony Asquith
42254,"Crime, Drama, Romance","City Film, Tango Film",Fox and His Friends,Rainer Werner Fassbinder
2721,"Drama, History, Thriller",Valoria Films,Z,Costa-Gavras
11442,"Horror, Thriller",Dimension Films,Halloween: Resurrection,Rick Rosenthal
1364,"Drama, Romance","Alicia Produce S L, StudioCanal, Televisión Española TVE, Canal+ España, Sociedad General de Cine (SOGECINE) S.A., Sogepaq",Sex and Lucia,Julio Médem
8869,"Action, Comedy, Horror, Thriller","Village Roadshow Pictures, NPV Entertainment, Centropolis Entertainment, Electric Entertainment, Warner Bros.",Eight Legged Freaks,Ellory Elkayem
8665,"Drama, History, Thriller","Paramount Pictures, Intermedia Films, National Geographic Society, New Regency Pictures, Palomar Pictures (II), First Light Production",K-19: The Widowmaker,Kathryn Bigelow
10996,"Family, Adventure, Animation, Comedy","Columbia Pictures, Sony Pictures Entertainment",Stuart Little 2,Rob Minkoff
818,"Comedy, Crime, Science Fiction","New Line Cinema, Eric's Boy, Team Todd, Moving Pictures, Gratitude International",Austin Powers in Goldmember,Jay Roach
6404,"Drama, Horror","Gaumont, Werner Herzog Filmproduktion, Zweites Deutsches Fernsehen (ZDF)",Nosferatu the Vampyre,Werner Herzog
19133,"Action, Comedy",Paramount Pictures,The Big Bus,James Frawley
43445,Drama,Universalia Film,La Terra Trema,Luchino Visconti
36645,"Action, Comedy, Thriller",Twentieth Century-Fox Productions,Modesty Blaise,Joseph Losey
5155,"Crime, Drama, Romance",Industrie Cinematografiche Italiane,Ossessione,Luchino Visconti
23728,"Adventure, Comedy, Fantasy, Science Fiction",Twentieth Century Fox Film Corporation,Our Man Flint,Daniel Mann
3780,Drama,"Toho Company, Kurosawa Production Co.",Red Beard,Akira Kurosawa
10786,"Action, Adventure, Drama, Romance","Columbia Pictures Corporation, Rastar Pictures",Robin and Marian,Richard Lester
8764,Comedy,Paramount Pictures,Top Secret!,"Jerry Zucker, Jim Abrahams, David Zucker"
2675,"Drama, Thriller, Science Fiction, Mystery","Kennedy/Marshall Company, The, Touchstone Pictures, Blinding Edge Pictures",Signs,M. Night Shyamalan
12308,"Comedy, Drama, Romance",,The Last Kiss,Gabriele Muccino
9488,"Action, Adventure, Family",Dimension Films,Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez
9962,"Drama, Comedy, Romance","Fox Searchlight Pictures, Hungry Eye Lowland Pictures B.V., Flan de Coco Films",The Good Girl,Miguel Arteta
9573,"Crime, Drama, Mystery, Thriller","Malpaso Productions, Warner Bros.",Blood Work,Clint Eastwood
7451,"Action, Adventure, Thriller","Columbia Pictures, Original Film, Revolution Studios",xXx,Rob Cohen
2750,"Comedy, Drama","United Artists, Revolution Films, The Film Consortium, Baby Cow Productions, UK Film Council, Pathé, Film4",24 Hour Party People,Michael Winterbottom
30586,Documentary,,Biggie and Tupac,Nick Broomfield
34070,"Drama, Comedy","SVT Drama, Easy Film, Nordisk Film & TV Fond, Roy Andersson Filmproduktion AB",Songs from the Second Floor,Roy Andersson
6173,"Drama, Thriller, Crime, Romance","Canal+, Centre National de la Cinématographie (CNC), Ciné B, France 2 Cinéma",Read My Lips,Jacques Audiard
10081,"Action, Adventure, Crime, Drama","TriStar Pictures, ML Delphi Premier Productions, Dorica Film",The Principal,Christopher Cain
11484,"Adventure, Action, Science Fiction",Algonquin,Rollerball,Norman Jewison
11692,"Action, Comedy, Science Fiction","Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Mel's Cite du Cinema",The Adventures of Pluto Nash,Ron Underwood
9266,Adventure,"Imagine Entertainment, Mikona Productions GmbH & Co. KG, Universal Pictures, Shutt/Jones Productions",Blue Crush,John Stockwell
3640,"Romance, Drama, Comedy",,Mostly Martha,Sandra Nettelbeck
8653,"Drama, Thriller",Myung Film Company,The Isle,Kim Ki-duk
30072,"Drama, Mystery, Romance","Warner Bros. Pictures, Focus Features, Baltimore Spring Creek Productions",Possession,Neil LaBute
9357,"Horror, Thriller","Fox Searchlight Pictures, Catch 23 Entertainment",One Hour Photo,Mark Romanek
12771,"Comedy, Romance",Paramount Pictures,Serving Sara,Reginald Hudlin
9296,"Comedy, Drama, Science Fiction","New Line Cinema, Niccol Films",S1m0ne,Andrew Niccol
15070,"Action, Adventure, Drama, Thriller","Miramax Films, Amen Ra Films",Undisputed,Walter Hill
11243,"Adventure, Fantasy, Animation, Comedy, Science Fiction, Family",Nelvana,The Care Bears Movie,Arna Selznick
10323,"Adventure, Fantasy, Family","Metro-Goldwyn-Mayer (MGM), Peerford Ltd.",Clash of the Titans,Desmond Davis
9595,"Action, Comedy, War",Twentieth Century Fox Film Corporation,Hot Shots!,Jim Abrahams
28319,Horror,"Televicine S.A. de C.V., Dialchi Film, Lotus Films",Nightmare City,Umberto Lenzi
46878,"Action, Drama, Horror, Science Fiction",Warner Bros.,The Swarm,Irwin Allen
24750,"Adventure, Drama, Comedy, Science Fiction, Thriller",Orion Pictures,Time After Time,Nicholas Meyer
24038,Horror,Cinetel Films,976-EVIL,Robert Englund
9941,Comedy,"Touchstone Pictures, Silver Screen Partners II",Down and Out in Beverly Hills,Paul Mazursky
39833,"Drama, Action, Western, Music, Romance",Twentieth Century Fox Film Corporation,Love Me Tender,Robert D. Webb
3127,"Horror, Science Fiction",Hammer Film Productions,The Revenge of Frankenstein,Terence Fisher
10859,"Action, Comedy, Romance","Touchstone Pictures, Silver Screen Partners II",Stakeout,John Badham
10725,"Drama, Horror","Orion Pictures Corporation, King-Hitzig Productions",Wolfen,Michael Wadleigh
13536,"Crime, Drama, Mystery","Warner Bros. Pictures, Epsilon Motion Pictures, Franchise Pictures, Brad Grey Pictures, Sea Breeze Productions Inc.",City By The Sea,Michael Caton-Jones
20616,"Drama, Thriller","Twentieth Century Fox Film Corporation, Greenestreet Films, Cobalt Media Group, Furthur Films, Forrest Films",Swimfan,John Polson
16806,"Action, Comedy, Thriller, Crime","Twentieth Century Fox Film Corporation, Edgewood Productions",Johnny Dangerously,Amy Heckerling
15516,"Horror, Thriller","Lobster Enterprises, Sean S. Cunningham Films, The Night Co.",The Last House on the Left,Wes Craven
9299,"Horror, Thriller","Sogepaq, Las Producciones del Escorpión S.L.",Thesis,Alejandro Amenábar
10611,"Comedy, Drama",Metro-Goldwyn-Mayer (MGM),Barbershop,Tim Story
12770,"Action, Comedy, Drama","Columbia Pictures, Imagine Entertainment, Revolution Studios",Stealing Harvard,Bruce McCulloch
4108,"Action, Crime, Thriller","TF1 Films Productions, Current Entertainment, Canal+, EuropaCorp",The Transporter,"Louis Leterrier, Corey Yuen Kwai"
9685,"Comedy, Drama",United Artists,Igby Goes Down,Burr Steers
14361,"Action, Adventure, Comedy, Family","Touchwood Pacific Partners 1, Touchstone Pictures",Captain Ron,Thom Eberhardt
18943,"Comedy, Family","Touchstone Pictures, Silver Screen Partners IV",Ernest Goes to Jail,John R. Cherry III
32685,"Horror, Comedy, Family","Touchwood Pacific Partners 1, Touchstone Pictures",Ernest Scared Stupid,John R. Cherry III
18477,Horror,"Castle Hill Productions, VTC",The Hills Have Eyes Part II,Wes Craven
12262,Horror,Blood Relations Co.,The Hills Have Eyes,Wes Craven
41582,"Comedy, Family",New Line Cinema,Monkey Trouble,Franco Amurri
50382,Horror,,Monster in the Closet,Bob Dahlin
26680,Horror,Zopix Company,Shock Waves,Ken Wiederhorn
34086,"Comedy, Family, Science Fiction","Touchstone Pictures, Silver Screen Partners IV",Spaced Invaders,Patrick Read Johnson
11504,"Action, Comedy, Family, Science Fiction",New Line Cinema,Suburban Commando,Burt Kennedy
23470,"Action, Adventure, Comedy, Family",New Line Cinema,Surf Ninjas,Neal Israel
977,"Adventure, Drama, Romance",Murnau-Flaherty Productions,Tabu,F.W. Murnau
233,Drama,"Orion Pictures Corporation, Warner Bros. Home Entertainment Group",The Wanderers,Philip Kaufman
19049,"Drama, Family",Metro-Goldwyn-Mayer (MGM),The Yearling,Clarence Brown
5506,"Comedy, Crime","The Rank Organisation, Ealing Studios",The Ladykillers,Alexander Mackendrick
32961,"Comedy, Crime","Ealing Studios, J. Arthur Rank Organisation",The Lavender Hill Mob,Charles Crichton
32568,"Comedy, Drama","The Rank Organisation, Ealing Studios",The Man in the White Suit,Alexander Mackendrick
29698,Drama,BBC Films,Ratcatcher,Lynne Ramsay
22244,"Comedy, Drama, Horror","Society Productions Inc., Wild Street Pictures",Society,Brian Yuzna
19460,"Comedy, Drama, Romance","I.N.C.A.A., Patagonik Film Group, Tornasol Films, JEMPSA, Pol-Ka Producciones",Son of the Bride,Juan José Campanella
575,"Drama, Thriller","Senator Film Produktion, Fanes Film, Seven Pictures, Typhoon",The Experiment,Oliver Hirschbiegel
10550,"Action, Adventure, Thriller","Epsilon Motion Pictures, Franchise Pictures, Dante Entertainment, Chris Lee Productions, SuperMega, MHF Erste Academy Film GmbH & Co. Produktions KG",Ballistic: Ecks vs. Sever,Wych Kaosayananda
9034,"Comedy, Drama",Fox Searchlight Pictures,The Banger Sisters,Bob Dolman
9093,"War, Adventure, Drama, Romance","Paramount Pictures, Miramax Films, Marty Katz Productions, Jaffilms Inc., Dune Films, Belhaven Limited",The Four Feathers,Shekhar Kapur
9039,"Action, Crime, Drama, Thriller","Senator Film Produktion, Propaganda Films, Colombia Pictures",Trapped,Luis Mandoki
1958,"Comedy, Thriller, Music, Crime, Mystery","France 2 Cinéma, Fidélité Productions, Le Studio Canal+, Centre National de la Cinématographie, Gimages 5, Mars Films",8 Women,François Ozon
23550,Drama,"R%26C Produzioni, Les Films Balenciaga",His Secret Life,Ferzan Ozpetek
11013,"Comedy, Drama, Romance","Slough Pond, double A Films",Secretary,Steven Shainberg
129,"Fantasy, Adventure, Animation, Family",Studio Ghibli,Spirited Away,Hayao Miyazaki
11529,"Comedy, Romance",Touchstone Pictures,Sweet Home Alabama,Andy Tennant
10771,"Thriller, Action, Comedy, Science Fiction","DreamWorks SKG, Parkes+MacDonald Image Nation, Blue Train Productions",The Tuxedo,Kevin Donovan
31005,"Romance, Drama","Punch Productions, Touchstone Pictures, Hyde Park Entertainment, Reveal Entertainment, Gran Via",Moonlight Mile,Brad Silberling
2110,"Drama, Action, Comedy","Canal Plus, TF1 Films Productions, Tobis, Destiny, EuropaCorp",Wasabi,Gérard Krawczyk
15173,"Action, Adventure, Animation, Comedy, Family, Fantasy, Romance",Big Idea Productions,Jonah: A VeggieTales Movie,"Phil Vischer, Mike Nawrocki"
9533,"Crime, Thriller, Horror","Universal Pictures, Metro-Goldwyn-Mayer (MGM)",Red Dragon,Brett Ratner
4107,"Action, Adventure, Drama, History","Portman Entertainment Group, Bórd Scannán na hÉireann, Hell's Kitchen Films, Granada Television",Bloody Sunday,Paul Greengrass
10575,"Drama, Thriller, Romance, Crime","Miramax Films, Mirage Enterprises, X-Filme Creative Pool",Heaven,Tom Tykwer
9260,Comedy,"Section Eight, Pandora Cinema, Gaylord Films, Warner Bros., H5B5 Media AG",Welcome to Collinwood,"Anthony Russo, Joe Russo"
21828,"Drama, Romance",Kennedy Miller Productions,Flirting,John Duigan
1682,"Fantasy, Science Fiction, Action, Adventure",Toho Company,Mothra vs. Godzilla,Ishirô Honda
18983,"Science Fiction, Horror","Toho Company, Jewell Enterprises Inc.","Godzilla, King of the Monsters!","Ishirô Honda, Terry O. Morse"
33831,"Crime, Drama",Black Marble Productions,The Onion Field,Harold Becker
24348,"Documentary, Drama, Music","IRE Productions, Santa Fe Institute for Regional Education, Canon Productions",Powaqqatsi,Godfrey Reggio
19140,"Drama, Family","Samuel Goldwyn Company, The",The Pride of the Yankees,Sam Wood
37606,"Drama, Romance","Renn Productions, Timothy Burrill Productions",Valmont,Miloš Forman
11868,Horror,Hammer Film Productions,Horror of Dracula,Terence Fisher
12921,Comedy,Metro-Goldwyn-Mayer (MGM),Strange Brew,"Rick Moranis, Dave Thomas"
19953,"Animation, Comedy, Family, Fantasy, Science Fiction",Warner Bros.,The Incredible Mr. Limpet,Arthur Lubin
10772,"Action, Western","B.R.C. Produzione S.r.l., Tecisa",Django,Sergio Corbucci
12719,"Action, Comedy, Crime","Paramount Pictures, 60/80 Productions",Flashback,Franco Amurri
3092,"Thriller, Drama, Crime","Allied Film Makers, Beaver Films",Seance on a Wet Afternoon,Bryan Forbes
12590,"Thriller, Horror, Mystery","Dimension Films, Protozoa Pictures",Below,David Twohy
37964,"Comedy, Romance",,Brown Sugar,Rick Famuyiwa
7501,"Crime, Thriller",Lawrence Bender Productions,Knockaround Guys,"Brian Koppelman, David Levien"
1809,"Comedy, Drama, Romance",Kingsgate Films,The Rules of Attraction,Roger Avary
13768,"Drama, Family, Fantasy, Romance, Science Fiction",Walt Disney Pictures,Tuck Everlasting,Jay Russell
10994,Drama,"Pandora Filmproduktion, John Wells Productions, Gaylord Films, Warner Bros., Oleandor Productions",White Oleander,Peter Kosminsky
1430,Documentary,"Alliance Atlantis Communications, TiMe Film- und TV-Produktions GmbH, Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG, Dog Eat Dog Films, Iconolatry Productions Inc., Salter Street Films International, United Broadcasting Inc.",Bowling for Columbine,Michael Moore
19973,"Comedy, Documentary",,Comedian,Christian Charles
40815,"Drama, Adventure","Cecchi Gori Group Tiger Cinematografica, Canal+, Alicéléo",On Guard,Philippe de Broca
12600,"Adventure, Fantasy, Animation, Science Fiction, Family",,Pokémon 4Ever: Celebi - Voice of the Forest,"Kunihiko Yuyama, Jim Malone"
8051,"Comedy, Drama, Romance","Columbia Pictures, New Line Cinema, Ghoulardi Film Company",Punch-Drunk Love,Paul Thomas Anderson
12779,"Comedy, Romance","Screen Gems, SKA Films, Codi S.p.a.",Swept Away,Guy Ritchie
15992,"Drama, Mystery, Thriller","Paramount Pictures, Spyglass Entertainment, Touchstone Pictures",Abandon,Stephen Gaghan
1613,"Thriller, Action, Comedy, Crime","Film Council, Alliance Atlantis Communications, The Film Consortium, Focus Films, Momentum Films, National Lottery, Canadian Film or Video Production Tax Credit (CPTC), Artists Production Group (APG), Fifty First Films",The 51st State,Ronny Yu
565,"Horror, Mystery","DreamWorks SKG, BenderSpink, Parkes+MacDonald Image Nation",The Ring,Gore Verbinski
14112,"Drama, Crime","Sony Pictures Classics, Propaganda Films, Good Machine",Auto Focus,Paul Schrader
15192,"Drama, War",The Goatsingers,The Grey Zone,Tim Blake Nelson
21925,"Documentary, Drama, Music, Thriller","Miramax Films, Qatsi Productions, IRE Productions, Santa Fe Institute for Regional Education",Naqoyqatsi,Godfrey Reggio
16646,"Mystery, Drama, Fantasy, History","Ministry of Culture of the Russian Federation, Hermitage Bridge Studio, The, State Hermitage Museum",Russian Ark,Alexander Sokurov
12647,"Drama, Action, Thriller, Crime",Touchstone Pictures,Billy Bathgate,Robert Benton
12477,"Animation, Drama, War","Bandai Visual, Studio Ghibli, Shinchosha Company",Grave of the Fireflies,Isao Takahata
10285,"Fantasy, Horror, Thriller","New Line Cinema, Sean S. Cunningham Films",Jason Goes to Hell: The Final Friday,Adam Marcus
19403,"Action, Crime, Thriller","Chartoff-Winkler Productions, Carlino Productions",The Mechanic,Michael Winner
11009,"Drama, Music","Paramount Pictures, Robert Stigwood Organization (RSO)",Saturday Night Fever,John Badham
10805,"Drama, Action, Music, Romance",Paramount Pictures,Staying Alive,Sylvester Stallone
40064,Horror,"Hammer Film Productions, Terra-Filmkunst",To the Devil a Daughter,Peter Sykes
17496,"Drama, Romance",Paramount Pictures,Urban Cowboy,James Bridges
40969,"Horror, Thriller","Sandy Howard Productions, Astral Bellevue Pathé, Triple T Productions",Terror Train,Roger Spottiswoode
5917,"Action, Drama, Western","Solar Productions, First Artists, Warner Bros.",Tom Horn,William Wiard
47942,"Action, Adventure, Drama, Thriller","Warner Bros., International Cinema",When Time Ran Out...,James Goldstone
44932,"Horror, Science Fiction","Heritage Enterprises Inc., World Amusement Partnership #106",Without Warning,Greydon Clark
15668,"Fantasy, Music, Romance",Universal Pictures,Xanadu,Robert Greenwald
19429,"Drama, Romance, Thriller","Columbia Pictures Corporation, Mirage Enterprises",Absence of Malice,Sydney Pollack
11340,"Action, Comedy","Lisa-Film, Derby Cinematografica",Banana Joe,Steno
11644,"Drama, Mystery, Thriller",Cinema 77,Blow Out,Brian De Palma
24124,"Horror, Thriller","Miramax Films, The Cropsy Venture",The Burning,Tony Maylam
8691,"Adventure, Horror","Dania Film, National Cinematografica, Medusa Distribuzione",Cannibal Ferox,Umberto Lenzi
6399,"Action, Adventure, Comedy",Take 1 Productions,A Friend Is a Treasure,Sergio Corbucci
19123,"Comedy, Crime, Adventure","Gaumont International, Fideline Films, Conacite Uno",Knock on Wood,Francis Veber
26560,"Comedy, Romance","Universal Pictures, Amblin Entertainment",Continental Divide,Michael Apted
24274,"Horror, Mystery",Barclays Mercantile Industrial Finance,Dead & Buried,Gary Sherman
33016,"Horror, Mystery, Thriller","PolyGram Filmed Entertainment, Inter Planetary",Deadly Blessing,Wes Craven
26444,"Action, Drama","Golden Harvest Company, Northshore Investments Ltd.",Death Hunt,Peter R. Hunt
19114,"Romance, Drama",Universal Pictures,Endless Love,Franco Zeffirelli
17205,"Crime, Action, Drama","City Film, Golan-Globus Productions, The Cannon Group",Enter the Ninja,Menahem Golan
24740,"Horror, Mystery, Thriller",American Cinema Productions,The Entity,Sidney J. Furie
10863,"Action, Drama, Romance, Thriller",Kings Road Entertainment,Eye of the Needle,Richard Marquand
31679,"Action, Mystery, Thriller",Twentieth Century Fox Film Corporation,Eyewitness,Peter Yates
12579,"Romance, Drama","Les Films du Carrosse, TF1 Films Production",The Woman Next Door,François Truffaut
23668,"Crime, Drama","Producers Circle, Time-Life Television Productions","Fort Apache, the Bronx",Daniel Petrie
28893,"Action, Adventure, Horror, Science Fiction",New World Pictures,Galaxy of Terror,Bruce D. Clark
11646,"Adventure, Drama, History, War","The Australian Film Commission, R & R Films",Gallipoli,Peter Weir
5062,"Crime, Drama, Mystery, Thriller",TF1 Films Productions,The Inquisitor,Claude Miller
24634,"Drama, Horror, Thriller",Universal Pictures,Ghost Story,John Irvin
21764,"Comedy, Romance","National Film Finance Corporation (NFFC), Lake Films, Scottish Television (STV)",Gregory's Girl,Bill Forsyth
42149,"Drama, Horror, Thriller","Warner Bros., Orion Pictures Corporation",The Hand,Oliver Stone
37936,"Drama, Horror, Thriller, Mystery","Columbia Pictures Corporation, Canadian Film Development Corporation (CFDC), Famous Players, The Birthday Film Company",Happy Birthday to Me,J. Lee Thompson
